created_at,entry_id,field1,field2
2017-03-06 13:32:09 UTC,1,40.1,23.6
2017-03-06 13:47:09 UTC,2,35.0,23.7
2017-03-06 14:02:09 UTC,3,34.8,23.7
2017-03-06 14:17:09 UTC,4,36.2,23.7
2017-03-06 14:32:09 UTC,5,37.0,23.9
2017-03-06 14:47:09 UTC,6,36.7,23.9
2017-03-06 15:02:09 UTC,7,36.2,23.9
2017-03-06 15:17:09 UTC,8,37.5,24.0
2017-03-06 15:32:09 UTC,9,38.1,24.0
2017-03-06 15:47:09 UTC,10,37.2,23.9
2017-03-06 16:02:09 UTC,11,33.4,23.3
2017-03-06 16:17:09 UTC,12,35.9,23.1
2017-03-06 16:32:09 UTC,13,37.2,23.1
2017-03-06 16:47:09 UTC,14,37.1,23.2
2017-03-06 17:02:09 UTC,15,36.0,23.5
2017-03-06 17:17:09 UTC,16,35.0,23.6
2017-03-06 17:32:09 UTC,17,35.9,23.6
2017-03-06 17:47:09 UTC,18,36.6,23.3
2017-03-06 18:02:09 UTC,19,37.4,23.1
2017-03-06 18:17:09 UTC,20,37.3,22.9
2017-03-06 18:32:09 UTC,21,36.3,23.2
2017-03-06 18:47:09 UTC,22,35.8,23.3
2017-03-06 19:02:09 UTC,23,35.7,23.3
2017-03-06 19:17:09 UTC,24,36.1,23.3
2017-03-06 19:32:09 UTC,25,36.0,23.4
2017-03-06 19:47:09 UTC,26,34.5,23.4
2017-03-06 20:02:09 UTC,27,34.1,23.4
2017-03-06 20:17:09 UTC,28,35.5,23.4
2017-03-06 20:32:09 UTC,29,35.0,23.4
2017-03-06 20:47:09 UTC,30,34.1,23.4
2017-03-06 21:02:09 UTC,31,35.0,23.4
2017-03-06 21:17:09 UTC,32,35.8,23.5
2017-03-06 21:32:09 UTC,33,34.8,23.4
2017-03-06 21:47:09 UTC,34,34.0,23.5
2017-03-06 22:02:09 UTC,35,36.0,23.5
2017-03-06 22:17:09 UTC,36,35.5,23.5
2017-03-06 22:32:09 UTC,37,34.5,23.5
2017-03-06 22:47:09 UTC,38,33.9,23.2
2017-03-06 23:02:09 UTC,39,34.6,23.0
2017-03-06 23:17:09 UTC,40,34.9,22.8
2017-03-06 23:32:09 UTC,41,35.2,22.6
2017-03-06 23:47:09 UTC,42,35.5,22.5
2017-03-07 00:02:09 UTC,43,35.7,22.4
2017-03-07 00:17:09 UTC,44,35.7,22.4
2017-03-07 00:32:09 UTC,45,35.8,22.3
2017-03-07 00:47:09 UTC,46,35.9,22.2
2017-03-07 01:02:09 UTC,47,35.9,22.1
2017-03-07 01:17:09 UTC,48,36.1,22.1
2017-03-07 01:32:09 UTC,49,36.1,22.0
2017-03-07 01:47:09 UTC,50,36.3,22.0
2017-03-07 02:02:09 UTC,51,36.2,21.9
2017-03-07 02:17:09 UTC,52,36.3,21.9
2017-03-07 02:32:09 UTC,53,36.3,21.8
2017-03-07 02:47:09 UTC,54,36.2,21.8
2017-03-07 03:02:09 UTC,55,36.3,21.7
2017-03-07 03:17:09 UTC,56,36.4,21.7
2017-03-07 03:32:09 UTC,57,36.4,21.6
2017-03-07 03:47:09 UTC,58,36.4,21.6
2017-03-07 04:02:09 UTC,59,36.5,21.6
2017-03-07 04:17:09 UTC,60,36.5,21.5
2017-03-07 04:32:09 UTC,61,36.5,21.4
2017-03-07 04:47:09 UTC,62,36.5,21.4
2017-03-07 05:02:09 UTC,63,36.5,21.4
2017-03-07 05:17:09 UTC,64,35.4,21.3
2017-03-07 05:32:09 UTC,65,34.5,21.2
2017-03-07 05:47:09 UTC,66,33.3,21.6
2017-03-07 06:02:09 UTC,67,32.8,21.6
2017-03-07 06:17:09 UTC,68,32.5,21.8
2017-03-07 06:32:09 UTC,69,33.7,21.7
2017-03-07 06:47:09 UTC,70,36.4,21.9
2017-03-07 07:02:09 UTC,71,38.5,22.0
2017-03-07 07:17:09 UTC,72,35.4,22.0
2017-03-07 07:32:09 UTC,73,34.2,22.0
2017-03-07 07:47:09 UTC,74,35.7,22.0
2017-03-07 08:02:09 UTC,75,36.4,22.3
2017-03-07 08:17:09 UTC,76,37.1,22.3
2017-03-07 08:32:09 UTC,77,36.1,22.5
2017-03-07 08:47:09 UTC,78,36.3,22.6
2017-03-07 09:02:09 UTC,79,37.1,22.7
2017-03-07 09:17:09 UTC,80,37.3,22.7
2017-03-07 09:32:09 UTC,81,37.8,22.7
2017-03-07 09:47:09 UTC,82,37.7,22.8
2017-03-07 10:02:09 UTC,83,37.7,22.9
2017-03-07 10:17:09 UTC,84,37.3,23.1
2017-03-07 10:32:09 UTC,85,38.0,23.2
2017-03-07 10:47:09 UTC,86,37.3,23.3
2017-03-07 11:02:09 UTC,87,37.2,23.3
2017-03-07 11:17:09 UTC,88,38.2,23.5
2017-03-07 11:32:09 UTC,89,38.1,23.4
2017-03-07 11:47:09 UTC,90,39.0,23.5
2017-03-07 12:02:09 UTC,91,37.7,23.6
2017-03-07 12:17:09 UTC,92,37.1,23.6
2017-03-07 12:32:09 UTC,93,37.1,23.7
2017-03-07 12:47:09 UTC,94,37.1,23.7
2017-03-07 13:02:09 UTC,95,37.3,23.8
2017-03-07 13:17:09 UTC,96,38.1,23.9
2017-03-07 13:32:09 UTC,97,38.5,23.9
2017-03-07 13:47:09 UTC,98,36.1,23.6
2017-03-07 14:02:09 UTC,99,36.1,23.8
